01224,066  ,0660076,ﾎｯｶｲﾄﾞｳ,ﾁﾄｾｼ,ｱｽﾞｻ,北海道,千歳市,あずさ,0,0,1,0,1,2
06206,991,9910040,ﾔﾏｶﾞﾀｹﾝ,ｻｶﾞｴｼ,ﾀｶｾﾀﾞｲ,山形県,寒河江市,高瀬台,0,0,0,0,1,5
07203,963,9638048,ﾌｸｼﾏｹﾝ,ｺｵﾘﾔﾏｼ,ﾄﾐﾀﾆｼ,福島県,郡山市,富田西,0,0,1,0,1,3
07213,96007,9600723,ﾌｸｼﾏｹﾝ,ﾀﾞﾃｼ,ﾔﾅｶﾞﾜﾏﾁｼﾓｱｼﾅｷﾞ,福島県,伊達市,梁川町下足駄木,0,0,0,1,1,5
07213,96007,9600723,ﾌｸｼﾏｹﾝ,ﾀﾞﾃｼ,ﾔﾅｶﾞﾜﾏﾁﾅｶｱｼﾅｷﾞ,福島県,伊達市,梁川町中足駄木,0,0,0,1,1,5
13104,16307,1630790,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング,0,0,0,0,1,5
13104,16307,1630701,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ1ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング１階,0,0,0,0,1,5
13104,16307,1630702,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ2ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング２階,0,0,0,0,1,5
13104,16307,1630703,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ3ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング３階,0,0,0,0,1,5
13104,16307,1630704,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ4ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング４階,0,0,0,0,1,5
13104,16307,1630705,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,ﾆｼｼﾝｼﾞｭｸ2ﾁｮｳﾒ7ﾊﾞﾝ1ｺﾞｳ ｼﾝｼﾞｭｸﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙﾃﾞｨﾝｸﾞ5ｶｲ,東京都,新宿区,西新宿２丁目７番１号　新宿第一生命ビルディング５階,0,0,0,0,1,5
