01224,"066  ","0660076","ﾎｯｶｲﾄﾞｳ","ﾁﾄｾｼ","ｱｽﾞｻ","北海道","千歳市","あずさ",0,0,0,0,2,6
13104,"16307","1630790","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(ﾁｶｲ･ｶｲｿｳﾌﾒｲ)","東京都","新宿区","西新宿小田急第一生命ビル（地階・階層不明）",0,0,0,0,2,6
13104,"16307","1630701","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(1ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（１階）",0,0,0,0,2,6
13104,"16307","1630702","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(2ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（２階）",0,0,0,0,2,6
13104,"16307","1630703","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(3ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（３階）",0,0,0,0,2,6
13104,"16307","1630704","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(4ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（４階）",0,0,0,0,2,6
13104,"16307","1630705","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(5ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（５階）",0,0,0,0,2,6
13104,"16307","1630706","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(6ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（６階）",0,0,0,0,2,6
13104,"16307","1630707","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(7ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（７階）",0,0,0,0,2,6
13104,"16307","1630708","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(8ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（８階）",0,0,0,0,2,6
13104,"16307","1630709","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(9ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（９階）",0,0,0,0,2,6
13104,"16307","1630710","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(10ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（１０階）",0,0,0,0,2,6
13104,"16307","1630711","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(11ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（１１階）",0,0,0,0,2,6
13104,"16307","1630712","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(12ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（１２階）",0,0,0,0,2,6
13104,"16307","1630713","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(13ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（１３階）",0,0,0,0,2,6
13104,"16307","1630714","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(14ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（１４階）",0,0,0,0,2,6
13104,"16307","1630715","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(15ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（１５階）",0,0,0,0,2,6
13104,"16307","1630716","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(16ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（１６階）",0,0,0,0,2,6
13104,"16307","1630717","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(17ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（１７階）",0,0,0,0,2,6
13104,"16307","1630718","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(18ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（１８階）",0,0,0,0,2,6
13104,"16307","1630719","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(19ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（１９階）",0,0,0,0,2,6
13104,"16307","1630720","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ(20ｶｲ)","東京都","新宿区","西新宿小田急第一生命ビル（２０階）",0,0,0,0,2,6
