04213,"98951","9895126","ﾐﾔｷﾞｹﾝ","ｸﾘﾊﾗｼ","ｶﾝﾅﾘﾂﾊﾞﾉｶﾜﾗ","宮城県","栗原市","金成鍔瓦",0,0,0,0,1,5
09214,"32913","3291317","ﾄﾁｷﾞｹﾝ","ｻｸﾗｼ","ｷﾇﾉｻﾄ","栃木県","さくら市","きぬの里",0,0,1,0,1,3
11342,"35502","3550215","ｻｲﾀﾏｹﾝ","ﾋｷｸﾞﾝﾗﾝｻﾞﾝﾏﾁ","ﾋﾗｻﾜ","埼玉県","比企郡嵐山町","平澤",0,0,0,0,1,5
21205,"50132","5013942","ｷﾞﾌｹﾝ","ｾｷｼ","ｷﾎﾞｳｶﾞｵｶﾁｮｳ","岐阜県","関市","希望ケ丘町",0,0,0,0,1,5
22212,"425  ","4250041","ｼｽﾞｵｶｹﾝ","ﾔｲﾂﾞｼ","ｲｼﾂﾞ","静岡県","焼津市","石津",0,0,1,0,1,3
22212,"425  ","4250038","ｼｽﾞｵｶｹﾝ","ﾔｲﾂﾞｼ","ｸﾛｲｼ","静岡県","焼津市","黒石",0,0,1,0,1,3
22212,"425  ","4250059","ｼｽﾞｵｶｹﾝ","ﾔｲﾂﾞｼ","ｼﾓｵﾀﾞｶﾐﾏﾁ","静岡県","焼津市","下小田上町",0,0,0,0,1,3
22212,"425  ","4250048","ｼｽﾞｵｶｹﾝ","ﾔｲﾂﾞｼ","ﾋｶﾞｼﾄﾞｳﾊﾞﾗ","静岡県","焼津市","東道原",0,0,0,0,1,3
22212,"425  ","4250047","ｼｽﾞｵｶｹﾝ","ﾔｲﾂﾞｼ","ﾋｶﾞｼﾈｷﾞｼﾏ","静岡県","焼津市","東祢宜島",0,0,0,0,1,3
22212,"425  ","4250037","ｼｽﾞｵｶｹﾝ","ﾔｲﾂﾞｼ","ﾐﾅﾐｺｶﾞﾜ","静岡県","焼津市","南小川",0,0,1,0,1,3
22212,"425  ","4250034","ｼｽﾞｵｶｹﾝ","ﾔｲﾂﾞｼ","ﾖｿｳｼﾞ","静岡県","焼津市","与惣次",0,0,1,0,1,3
23213,"44403","4440312","ｱｲﾁｹﾝ","ﾆｼｵｼ","ｸﾆﾓﾘﾁｮｳ","愛知県","西尾市","国森町",0,1,1,0,1,3
