04421,98136,9813620,ﾐﾔｷﾞｹﾝ,ｸﾛｶﾜｸﾞﾝﾀｲﾜﾁｮｳ,ｼｱﾜｾﾉﾓﾘ,宮城県,黒川郡大和町,しあわせの杜,0,0,0,0,1,3
08233,31117,3111706,ｲﾊﾞﾗｷｹﾝ,ﾅﾒｶﾞﾀｼ,ｷﾀｳﾗ,茨城県,行方市,北浦,0,0,0,0,1,5
09209,32143,3214317,ﾄﾁｷﾞｹﾝ,ﾓｵｶｼ,ﾅｶﾊｷﾞ,栃木県,真岡市,中萩,0,0,1,0,1,3
11242,35012,3501216,ｻｲﾀﾏｹﾝ,ﾋﾀﾞｶｼ,ﾑｻｼﾀｶﾊｷﾞ,埼玉県,日高市,武蔵高萩,0,0,1,0,1,3
13103,107,1076490,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー,0,0,0,0,1,5
13103,107,1076401,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ1ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー１階,0,0,0,0,1,5
13103,107,1076402,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ2ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー２階,0,0,0,0,1,5
13103,107,1076403,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ3ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー３階,0,0,0,0,1,5
13103,107,1076404,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ4ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー４階,0,0,0,0,1,5
13103,107,1076405,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ5ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー５階,0,0,0,0,1,5
13103,107,1076406,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ6ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー６階,0,0,0,0,1,5
